Time [s],Value,Parity Error,Framing Error
0.7205072000,0xAE,,
0.7205939000,0x00,,
0.7206806000,0x00,,
0.7207672000,0x00,,
0.7208539000,0x09,,
0.7209406000,0x00,,
0.7210273000,0x00,,
0.7211140000,0x00,,
0.7212007000,0x00,,
0.7212874000,0x00,,
0.7213740000,0x00,,
0.7214607000,0x00,,
0.7215474000,0x00,,
0.7216341000,0x00,,
0.7217207000,0x00,,
0.7218073000,0x00,,
0.7218940000,0x00,,
0.7219807000,0x00,,
0.7220673000,0x00,,
0.7221540000,0x00,,
0.7222406000,0x00,,
0.7223273000,0x00,,
0.7224140000,0x00,,
0.7225006000,0x00,,
0.7225873000,0x00,,
0.7226739000,0x00,,
0.7227605000,0x00,,
0.7228471000,0x00,,
0.7229336000,0x00,,
0.7230202000,0x00,,
0.7231068000,0x00,,
0.7231933000,0x00,,
0.7232799000,0x00,,
0.7233665000,0x00,,
0.7234532000,0x00,,
0.7235398000,0x00,,
0.7236265000,0x00,,
0.7237132000,0x00,,
0.7237998000,0x00,,
0.7238864000,0x00,,
0.7239731000,0x00,,
0.7240597000,0x00,,
0.7241463000,0x00,,
0.7242330000,0x00,,
0.7243196000,0x00,,
0.7244062000,0x00,,
0.7244928000,0x00,,
0.7245795000,0x00,,
0.7246661000,0x00,,
0.7247528000,0x00,,
0.7248395000,0x00,,
0.7249262000,0x00,,
0.7250129000,0x00,,
0.7250996000,0x00,,
0.7251863000,0x00,,
0.7252729000,0x00,,
0.7253596000,0x00,,
0.7254463000,0x00,,
0.7255329000,0x00,,
0.7256195000,0x00,,
0.7257061000,0x00,,
0.7257927000,0x00,,
0.7258792000,0x00,,
0.7259657000,0x00,,
0.8779310000,0xA4,,
0.8780177000,0x00,,
0.8781043000,0x00,,
0.8781909000,0x00,,
0.8782775000,0x01,,
0.8783641000,0x00,,
0.8784508000,0x00,,
0.8785374000,0x00,,
0.8786241000,0x01,,
0.8787107000,0x00,,
0.8787974000,0x00,,
0.8788841000,0x00,,
0.8789707000,0x00,,
0.8790574000,0x00,,
0.8791440000,0x00,,
0.8792306000,0x00,,
0.8793173000,0x00,,
0.8794040000,0x00,,
0.8794906000,0x00,,
0.8795773000,0x00,,
0.8796640000,0x00,,
0.8797506000,0x00,,
0.8798373000,0x00,,
0.8799239000,0x00,,
0.8800105000,0x00,,
0.8800972000,0x00,,
0.8801838000,0x00,,
0.8802704000,0x00,,
0.8803570000,0x00,,
0.8804437000,0x00,,
0.8805303000,0x00,,
0.8806169000,0x00,,
0.8807035000,0x00,,
0.8807902000,0x00,,
0.8808768000,0x00,,
0.8809634000,0x00,,
0.8810501000,0x00,,
0.8811367000,0x00,,
0.8812233000,0x00,,
0.8813100000,0x00,,
0.8813966000,0x00,,
0.8814833000,0x00,,
0.8815700000,0x00,,
0.8816566000,0x00,,
0.8817433000,0x00,,
0.8818300000,0x00,,
0.8819166000,0x00,,
0.8820032000,0x00,,
0.8820898000,0x00,,
0.8821764000,0x00,,
0.8822631000,0x00,,
0.8823497000,0x00,,
0.8824364000,0x00,,
0.8825230000,0x00,,
0.8826096000,0x00,,
0.8826962000,0x00,,
0.8827829000,0x00,,
0.8828696000,0x00,,
0.8829563000,0x00,,
0.8830429000,0x00,,
0.8831296000,0x00,,
0.8832163000,0x00,,
0.8833029000,0x00,,
0.8833896000,0x00,,
0.9046079000,0xA6,,
0.9046944000,0x00,,
0.9047808000,0x00,,
0.9048673000,0x00,,
0.9049538000,0x03,,
0.9050403000,0x00,,
0.9051268000,0x00,,
0.9052133000,0x00,,
0.9052998000,0x00,,
0.9053862000,0x00,,
0.9054727000,0x00,,
0.9055591000,0x00,,
0.9056456000,0x00,,
0.9057320000,0x00,,
0.9058185000,0x00,,
0.9059051000,0x00,,
