Time [s],Value,Parity Error,Framing Error
0.7262408000,0xB7,,
0.7263268000,0x00,,
0.7264128000,0x00,,
0.7264988000,0x00,,
0.7265849000,0x0A,,
0.7266709000,0x00,,
0.7267569000,0x00,,
0.7268429000,0x00,,
0.7269289000,0x7F,,
0.7270150000,0xFD,,
0.7271010000,0xFF,,
0.7271870000,0xFF,,
0.7272730000,0xFF,,
0.7273590000,0xFF,,
0.7274451000,0xFF,,
0.7275311000,0xFF,,
0.7276171000,0x00,,
0.7277031000,0x00,,
0.7277892000,0x00,,
0.7278752000,0x00,,
0.7279612000,0x00,,
0.7280472000,0x00,,
0.7281333000,0x00,,
0.7282193000,0x00,,
0.7283053000,0x00,,
0.7283913000,0x00,,
0.7284773000,0x00,,
0.7285633000,0x00,,
0.7286494000,0x00,,
0.7287354000,0x00,,
0.7288214000,0x00,,
0.7289075000,0x00,,
0.7289935000,0x00,,
0.7290795000,0x00,,
0.7291656000,0x00,,
0.7292516000,0x00,,
0.7293376000,0x00,,
0.7294236000,0x00,,
0.7295097000,0x00,,
0.7295957000,0x00,,
0.7296817000,0x00,,
0.7297678000,0x00,,
0.7298538000,0x00,,
0.7299398000,0x00,,
0.7300258000,0x00,,
0.7301118000,0x00,,
0.7301978000,0x00,,
0.7302838000,0x00,,
0.7303699000,0x00,,
0.7304559000,0x00,,
0.7305419000,0x00,,
0.7306279000,0x00,,
0.7307139000,0x00,,
0.7307999000,0x00,,
0.7308859000,0x00,,
0.7309719000,0x00,,
0.7310579000,0x00,,
0.7311440000,0x00,,
0.7312300000,0x00,,
0.7313160000,0x00,,
0.7314020000,0x00,,
0.7314880000,0x00,,
0.7315741000,0x00,,
0.7316601000,0x00,,
0.8836644000,0xA6,,
0.8837504000,0x00,,
0.8838364000,0x00,,
0.8839225000,0x00,,
0.8840085000,0x02,,
0.8840945000,0x00,,
0.8841805000,0x00,,
0.8842665000,0x00,,
0.8843525000,0x7F,,
0.8844385000,0xFD,,
0.8845246000,0xFF,,
0.8846106000,0xFF,,
0.8846966000,0xFF,,
0.8847826000,0xFF,,
0.8848686000,0xFF,,
0.8849546000,0xFF,,
0.8850406000,0x00,,
0.8851266000,0x00,,
0.8852126000,0x00,,
0.8852986000,0x00,,
0.8853846000,0x00,,
0.8854707000,0x00,,
0.8855567000,0x00,,
0.8856427000,0x00,,
0.8857287000,0x00,,
0.8858147000,0x00,,
0.8859007000,0x00,,
0.8859867000,0x00,,
0.8860728000,0x00,,
0.8861588000,0x00,,
0.8862448000,0x00,,
0.8863308000,0x00,,
0.8864168000,0x00,,
0.8865029000,0x00,,
0.8865889000,0x00,,
0.8866749000,0x00,,
0.8867610000,0x00,,
0.8868470000,0x00,,
0.8869330000,0x00,,
0.8870190000,0x00,,
0.8871051000,0x00,,
0.8871911000,0x00,,
0.8872771000,0x00,,
0.8873632000,0x00,,
0.8874492000,0x00,,
0.8875352000,0x00,,
0.8876212000,0x00,,
0.8877073000,0x00,,
0.8877933000,0x00,,
0.8878793000,0x00,,
0.8879653000,0x00,,
0.8880514000,0x00,,
0.8881374000,0x00,,
0.8882234000,0x00,,
0.8883094000,0x00,,
0.8883955000,0x00,,
0.8884815000,0x00,,
0.8885675000,0x00,,
0.8886535000,0x00,,
0.8887396000,0x00,,
0.8888256000,0x00,,
0.8889116000,0x00,,
0.8889977000,0x00,,
0.8890837000,0x00,,
0.9103323000,0xA9,,
0.9104183000,0x00,,
0.9105043000,0x00,,
0.9105903000,0x00,,
0.9106764000,0x04,,
0.9107624000,0x00,,
0.9108484000,0x00,,
0.9109344000,0x00,,
0.9110204000,0x28,,
0.9111065000,0xFD,,
0.9111925000,0xFF,,
0.9112785000,0xFF,,
0.9113645000,0xFF,,
0.9114505000,0xFF,,
0.9115365000,0xFF,,
0.9116226000,0xFF,,
0.9117086000,0x00,,
0.9117946000,0x00,,
0.9118806000,0x00,,
0.9119666000,0x00,,
0.9120527000,0x00,,
0.9121387000,0x00,,
0.9122247000,0x00,,
0.9123107000,0x00,,
0.9123967000,0x00,,
0.9124827000,0x00,,
0.9125688000,0x00,,
0.9126548000,0x00,,
0.9127408000,0x00,,
0.9128268000,0x00,,
0.9129128000,0x00,,
0.9129988000,0x00,,
0.9130849000,0x00,,
